cuotas,monto,edad,ingresos,empresa,comerciante,comercio,sucursal,plan,sexo,ocupacion,calificacion,nacionalidad,localidad,mora
0.06,0.0083,0.48,0.12,0.1,0.1103,0.3631,0.49,0.2318,0.147,0.207,0.0015,0.3466,0.1506,False
0.12,0.0088,0.22,0.1143,0.1,0.0157,0.0336,0.02,0.2316,0.154,0.207,0.0016,0.3466,0.4579,False
0.09,0.0015,0.31,0.6667,0.1,0.0158,0.0334,0.08,0.2316,0.154,0.0133,0.0015,0.3466,0.4579,False
0.12,0.0014,0.24,0.6998,0.1,0.0161,0.0334,0.26,0.2316,0.154,0.0133,0.0015,0.3466,0.5306,True
0.09,0.0033,0.48,0.2991,0.1,0.0157,0.0336,0.02,0.2316,0.154,0.2068,0.0016,0.3466,0.0473,False
0.12,0.05,0.09,0.02,0.1,0.0157,0.0335,0.06,0.2316,0.154,0.0133,0.0016,0.3466,0.3941,False
0.12,0.003,0.25,0.3325,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.0133,0.0015,0.3466,0.2854,False
0.06,0.0012,0.29,0.8235,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.0133,0.0015,0.3466,0.5884,False
0.12,0.0011,0.23,0.9231,0.1,0.0157,0.0378,0.05,0.2044,0.154,0.0133,0.0015,0.3466,0.2671,True
0.12,0.0011,0.46,0.9508,0.1,0.1316,0.4349,0.36,0.2333,0.154,0.2068,0.0016,0.3466,0.3098,False
0.09,0.053,0.5,0.0189,0.1,0.0157,0.0335,0.04,0.2316,0.147,0.0133,0.0016,0.3466,0.0209,False
0.09,0.0084,0.34,0.1189,0.1,0.1251,0.4107,0.36,0.2318,0.154,0.0133,0.0015,0.3466,0.1887,False
0.09,0.0276,0.31,0.0362,0.1,0.0006,0.0211,0.24,0.0283,0.147,0.0133,0.0015,0.3466,0.5923,True
0.12,0.0097,0.49,0.1033,0.1,0.0157,0.0335,0.05,0.2316,0.154,0.0133,0.0016,0.3466,0.5684,False
0.12,0.007,0.33,0.1422,0.3,0.1272,0.4215,0.37,0.2318,0.154,0.0133,0.0016,0.3466,0.1296,False
0.06,0.005,0.28,0.2,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.0133,0.0016,0.3466,0.6441,False
0.15,0.0907,0.24,0.011,0.1,0.0157,0.0335,0.05,0.2343,0.147,0.0133,0.0015,0.3466,0.4579,True
0.15,0.0019,0.27,0.538,0.3,0.1272,0.4215,0.37,0.2343,0.154,0.0133,0.0014,0.3466,0.1296,False
0.06,0.0033,0.5,0.3017,0.1,0.016,0.0334,0.24,0.2316,0.154,0.2068,0.0016,0.3827,0.407,False
0.12,0.0337,0.31,0.0297,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.0133,0.0016,0.3466,0.3321,True
0.12,0.0158,0.62,0.0635,0.1,0.0158,0.0335,0.1,0.2316,0.147,0.2068,0.0015,0.3466,0.4651,True
0.06,0.0037,0.77,0.2729,0.1,0.0158,0.0336,0.09,0.2316,0.147,0.2068,0.0016,0.3466,0.5074,True
0.06,0.0039,0.39,0.2553,0.1,0.1051,0.3416,0.48,0.2318,0.147,0.0133,0.0016,0.3466,0.1777,False
0.09,0.0015,0.41,0.684,0.1,0.1232,0.4044,0.25,0.2357,0.147,0.2068,0.0015,0.3466,0.4579,True
0.09,0.0527,0.27,0.019,0.1,0.016,0.0334,0.24,0.2316,0.147,0.0133,0.0016,0.3466,0.0861,False
0.06,0.0025,0.52,0.3939,0.1,0.118,0.3888,0.02,0.2201,0.147,0.0133,0.0016,0.3466,0.0861,True
0.06,0.004,0.31,0.2497,0.1,0.1251,0.4107,0.36,0.2318,0.147,0.0133,0.0015,0.3466,0.3098,False
0.15,0.003,0.34,0.3333,0.1,0.0159,0.0334,0.14,0.2343,0.154,0.0133,0.0015,0.3466,0.2671,True
0.06,0.0288,0.25,0.0348,0.1,0.0159,0.0334,0.14,0.2316,0.147,0.0133,0.0016,0.3466,0.2671,False
0.06,0.0032,0.29,0.3139,0.1,0.1139,0.3755,0.07,0.2182,0.154,0.207,0.0015,0.3466,0.543,False
0.09,0.2861,0.24,0.0035,0.1,0.0927,0.4143,0.01,0.2246,0.147,0.0133,0.0016,0.3466,0.5833,False
0.04,0.0014,0.22,0.7046,0.1,0.0227,0.3728,0.25,0.2177,0.154,0.0133,0.0016,0.3466,0.4579,False
0.09,0.1567,0.24,0.0064,0.1,0.113,0.3735,0.01,0.2178,0.147,0.0133,0.0016,0.3466,0.5833,False
0.06,0.0063,0.67,0.1597,0.1,0.1251,0.4107,0.36,0.2318,0.147,0.2068,0.0016,0.3466,0.3098,False
0.06,0.0046,0.7,0.2181,0.1,0.0972,0.3756,0.25,0.2182,0.154,0.2072,0.0015,0.3466,0.0161,False
0.06,0.0029,0.76,0.3414,0.1,0.1252,0.4504,0.36,0.239,0.154,0.2068,0.0016,0.3466,0.3098,False
0.09,0.1502,0.29,0.0067,0.1,0.0006,0.0214,0.25,0.0277,0.154,0.0133,0.0016,0.3466,0.6406,False
0.06,0.0061,0.59,0.1629,0.1,0.0157,0.0335,0.06,0.2316,0.147,0.0133,0.0016,0.3466,0.3941,False
0.15,0.0381,0.24,0.0263,0.1,0.1251,0.4107,0.36,0.2343,0.147,0.207,0.0016,0.3466,0.4579,True
0.06,0.0043,0.21,0.23,0.1,0.0158,0.0378,0.07,0.2316,0.147,0.2069,0.0015,0.3466,0.5074,True
0.06,0.0912,0.48,0.011,0.1,0.0161,0.0334,0.26,0.2316,0.147,0.0133,0.0016,0.3466,0.2428,True
0.09,0.0962,0.31,0.0104,0.1,0.1103,0.3631,0.49,0.2318,0.147,0.0133,0.0016,0.3466,0.5923,False
0.12,0.0018,0.36,0.5577,0.1,0.0161,0.038,0.26,0.2044,0.154,0.0133,0.0015,0.3466,0.4579,True
0.06,0.0015,0.62,0.6818,0.1,0.1251,0.4107,0.36,0.2318,0.147,0.2068,0.0015,0.3466,0.4579,False
0.06,0.0027,0.65,0.3738,0.1,0.0161,0.0334,0.26,0.2316,0.154,0.2068,0.0015,0.3466,0.5306,False
0.06,0.0031,0.25,0.3273,0.1,0.0161,0.0335,0.25,0.2316,0.147,0.0133,0.0015,0.3466,0.2114,True
0.09,0.0025,0.25,0.4067,0.1,0.0159,0.0334,0.14,0.2316,0.154,0.0133,0.0016,0.3466,0.2671,False
0.09,0.0046,0.61,0.2193,0.1,0.1103,0.3631,0.49,0.2318,0.147,0.2068,0.0015,0.3466,0.172,True
0.12,0.0014,0.39,0.7,0.1,0.0157,0.0335,0.05,0.2316,0.154,0.0133,0.0016,0.3466,0.3574,False
0.06,0.086,0.4,0.0116,0.1,0.016,0.0334,0.24,0.2316,0.154,0.0133,0.0016,0.3466,0.5351,False
0.06,0.0043,0.65,0.2332,0.1,0.0161,0.0334,0.26,0.2316,0.154,0.2068,0.0016,0.3466,0.2698,True
0.12,0.0036,0.49,0.2748,0.1,0.0157,0.0335,0.04,0.2316,0.154,0.0133,0.0015,0.3466,0.2799,True
0.06,0.0018,0.24,0.5564,0.1,0.1128,0.437,0.02,0.234,0.154,0.0133,0.0016,0.3466,0.1233,True
0.12,0.035,0.56,0.0286,0.1,0.0158,0.0334,0.08,0.2316,0.147,0.207,0.0016,0.3466,0.4579,False
0.12,0.0125,0.22,0.08,0.1,0.0158,0.0333,0.07,0.2316,0.154,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0027,0.32,0.3701,0.1,0.0158,0.0334,0.08,0.2316,0.154,0.0133,0.0015,0.3466,0.4579,True
0.06,0.002,0.37,0.5,0.1,0.0157,0.0377,0.04,0.2316,0.147,0.0133,0.0015,0.3466,0.4579,False
0.12,0.0846,0.34,0.0118,0.1,0.1051,0.3416,0.48,0.2318,0.154,0.207,0.0016,0.3466,0.5176,True
0.06,0.0017,0.22,0.5786,0.1,0.0157,0.0334,0.01,0.2316,0.147,0.0133,0.0016,0.3466,0.1402,False
0.12,0.0067,0.46,0.15,0.1,0.0161,0.038,0.26,0.2044,0.147,0.2068,0.0016,0.3466,0.543,False
0.12,0.0028,0.58,0.36,0.1,0.0157,0.0335,0.06,0.2316,0.147,0.2068,0.0016,0.3466,0.1777,False
0.12,0.0129,0.44,0.0777,0.1,0.016,0.0334,0.24,0.2316,0.154,0.0133,0.0016,0.3466,0.4579,False
0.12,0.0647,0.23,0.0155,0.1,0.0157,0.0335,0.04,0.2316,0.154,0.0133,0.0016,0.3466,0.2854,False
0.12,0.0019,0.31,0.5286,0.1,0.1287,0.4268,0.36,0.2291,0.154,0.0133,0.0015,0.3466,0.4579,True
0.06,0.0016,0.6,0.6085,0.1,0.0749,0.1446,0.35,0.2317,0.147,0.2068,0.0016,0.3466,0.5332,False
0.12,0.0043,0.32,0.2349,0.1,0.0157,0.0335,0.04,0.2316,0.154,0.2068,0.0015,0.3466,0.4579,False
0.09,0.012,0.62,0.0831,0.1,0.0157,0.0335,0.05,0.2316,0.147,0.2068,0.0016,0.3466,0.3574,True
0.09,0.0015,0.27,0.6726,0.1,0.016,0.0334,0.24,0.2316,0.154,0.0133,0.0016,0.3827,0.3619,False
0.09,0.0525,0.36,0.019,0.1,0.0157,0.0335,0.05,0.2316,0.147,0.207,0.0015,0.3466,0.4579,True
0.06,0.0207,0.45,0.0484,0.1,0.0158,0.0334,0.08,0.2316,0.147,0.0133,0.0016,0.3466,0.4579,False
0.12,0.008,0.24,0.1255,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.0133,0.0015,0.3466,0.5884,False
0.12,0.0081,0.32,0.1236,0.1,0.0157,0.0336,0.02,0.2316,0.147,0.0133,0.0015,0.3466,0.5702,True
0.12,0.0053,0.64,0.1902,0.1,0.0157,0.0335,0.04,0.2316,0.147,0.2068,0.0016,0.3466,0.2854,False
0.06,0.0682,0.57,0.0147,0.1,0.0158,0.0335,0.1,0.2316,0.147,0.0133,0.0016,0.3466,0.0473,False
0.06,0.0035,0.3,0.2875,0.1,0.016,0.0379,0.24,0.2316,0.154,0.2069,0.0015,0.3466,0.4579,True
0.06,0.001,0.24,0.96,0.1,0.1051,0.3416,0.48,0.2318,0.154,0.0133,0.0015,0.3466,0.1361,True
0.06,0.0457,0.63,0.0219,0.1,0.0157,0.0334,0.01,0.2316,0.154,0.2068,0.0016,0.3466,0.4579,True
0.06,0.0077,0.54,0.1301,0.1,0.0158,0.0333,0.07,0.2315,0.154,0.0133,0.0015,0.3466,0.5074,True
0.09,0.005,0.35,0.2013,0.1,0.0158,0.0334,0.08,0.2316,0.147,0.0133,0.0016,0.3466,0.4579,False
0.12,0.0253,0.27,0.0396,0.1,0.0158,0.0335,0.1,0.2316,0.147,0.0133,0.0015,0.3466,0.0317,True
0.06,0.0039,0.54,0.2553,0.1,0.0158,0.0335,0.1,0.2316,0.154,0.0133,0.0015,0.3466,0.0317,False
0.09,0.0245,0.31,0.0408,0.1,0.1051,0.3416,0.48,0.2318,0.147,0.0133,0.0016,0.3466,0.4579,False
0.12,0.0166,0.5,0.0602,0.1,0.0157,0.0336,0.02,0.2316,0.147,0.2068,0.0015,0.3466,0.5702,False
0.12,0.0056,0.5,0.18,0.1,0.0158,0.3609,0.09,0.2318,0.147,0.2068,0.0015,0.3466,0.0702,False
0.09,0.001,0.47,1,0.1,0.0161,0.1494,0.25,0.2317,0.147,0.0133,0.0015,0.3466,0.0209,True
0.06,0.003,0.42,0.3333,0.1,0.0161,0.0334,0.26,0.2316,0.147,0.2068,0.0015,0.3466,0.0757,True
0.09,0.0288,0.25,0.0347,0.1,0.0157,0.1492,0.05,0.2317,0.154,0.0133,0.0016,0.3466,0.3574,True
0.12,0.0571,0.19,0.0175,0.1,0.1103,0.3631,0.49,0.2318,0.154,0.0133,0.0016,0.3466,0.3304,False
0.12,0.0036,0.71,0.28,0.1,0.0749,0.1494,0.35,0.2317,0.154,0.214,0.0016,0.3466,0.4637,False
0.09,0.1156,0.51,0.0086,0.1,0.0158,0.1493,0.1,0.2317,0.147,0.0133,0.0015,0.3466,0.4637,False
0.06,0.0021,0.23,0.4818,0.1,0.1103,0.363,0.49,0.2318,0.154,0.207,0.0015,0.3466,0.241,False
0.06,0.0018,0.22,0.5455,0.1,0.1251,0.4107,0.36,0.2318,0.154,0.0133,0.0016,0.3466,0.3098,False
0.15,0.0181,0.24,0.0551,0.1,0.0157,0.1492,0.01,0.2343,0.147,0.0133,0.0016,0.3466,0.2194,False
0.12,0.0285,0.22,0.0351,0.1,0.0821,0.1407,0.35,0.1397,0.154,0.0133,0.0016,0.3466,0.4579,False
0.09,0.0614,0.22,0.0163,0.1,0.0749,0.1494,0.35,0.2317,0.147,0.0133,0.0016,0.3466,0.5332,False
0.04,0.0015,0.54,0.6617,0.1,0.0157,0.1492,0.01,0.2317,0.147,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0025,0.65,0.4,0.1,0.0157,0.1492,0.05,0.2317,0.147,0.2068,0.0015,0.3466,0.3574,True
0.04,0.0162,0.52,0.0618,0.1,0.0588,0.4521,0.02,0.2396,0.147,0.2068,0.0016,0.3466,0.3206,False
0.09,0.0061,0.52,0.1647,0.1,0.0157,0.1493,0.06,0.2317,0.154,0.0133,0.0016,0.3466,0.3941,False
0.15,0.0078,0.25,0.1279,0.1,0.0158,0.1493,0.08,0.2343,0.147,0.0133,0.0015,0.3466,0.2266,False
0.12,0.0022,0.24,0.4496,0.1,0.1263,0.4183,0.25,0.2261,0.154,0.0133,0.0015,0.3466,0.543,True
0.12,0.0024,0.25,0.4231,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.0133,0.0016,0.3466,0.5884,False
0.12,0.0139,0.23,0.0718,0.1,0.1103,0.363,0.49,0.2318,0.154,0.0133,0.0016,0.3466,0.4651,True
0.12,0.0333,0.27,0.03,0.1,0.0158,0.1493,0.1,0.2317,0.154,0.0133,0.0016,0.3466,0.0372,True
0.12,0.0028,0.3,0.3514,0.1,0.1281,0.4217,0.36,0.2274,0.147,0.0133,0.0015,0.3466,0.4579,False
0.12,0.3339,0.61,0.003,0.1,0.016,0.1494,0.24,0.2317,0.154,0.0133,0.0016,0.3466,0.5923,True
0.06,0.0015,0.37,0.6608,0.1,0.12,0.4238,0.02,0.2281,0.154,0.0133,0.0015,0.3466,0.5653,False
0.12,0.0053,0.48,0.1878,0.1,0.0158,0.1493,0.07,0.2317,0.147,0.0133,0.0015,0.3466,0.5074,True
0.04,0.0018,0.42,0.5547,0.1,0.0225,0.4496,0.14,0.2388,0.154,0.214,0.0016,0.3466,0.2987,False
0.06,0.0042,0.33,0.24,0.1,0.1251,0.4112,0.36,0.2318,0.147,0.0133,0.0015,0.3466,0.4579,False
0.12,0.0026,0.76,0.3807,0.3,0.1361,0.446,0.38,0.2376,0.147,0.2068,0.0015,0.3466,0.1551,True
0.06,0.001,0.42,1,0.3,0.1272,0.4215,0.37,0.2318,0.154,0.0133,0.0016,0.3466,0.1296,False
0.09,0.0017,0.52,0.5908,0.3,0.1272,0.4215,0.37,0.2318,0.147,0.0133,0.0016,0.3466,0.1296,True
0.09,0.0072,0.41,0.138,0.1,0.1228,0.4031,0.04,0.2219,0.154,0.0133,0.0016,0.3466,0.0209,True
0.12,0.0042,0.28,0.2382,0.3,0.1272,0.4215,0.37,0.2318,0.154,0.0133,0.0016,0.3466,0.1296,True
0.06,0.006,0.31,0.1667,0.1,0.0698,0.1494,0.28,0.2317,0.154,0.0133,0.0016,0.3466,0.5884,False
0.12,0.0092,0.39,0.1091,0.1,0.016,0.1494,0.24,0.2317,0.147,0.2068,0.0016,0.3466,0.5351,False
0.06,0.0137,0.2,0.0728,0.1,0.0157,0.1493,0.06,0.2317,0.154,0.0133,0.0016,0.3466,0.4579,False
0.06,0.0035,0.66,0.2876,0.1,0.0372,0.3638,0.07,0.2165,0.147,0.2068,0.0016,0.3466,0.5074,False
0.12,0.0794,0.55,0.0126,0.1,0.0157,0.1492,0.04,0.2317,0.147,0.0133,0.0015,0.3466,0.4579,True
0.09,0.0071,0.74,0.1414,0.1,0.0158,0.1493,0.07,0.2317,0.147,0.2068,0.0015,0.3466,0.5074,False
0.06,0.0013,0.72,0.8,0.3,0.1272,0.4215,0.37,0.2318,0.154,0.2068,0.0016,0.3466,0.1296,False
0.06,0.0026,0.25,0.39,0.1,0.0161,0.1494,0.25,0.2317,0.154,0.0133,0.0016,0.3466,0.4579,False
0.06,0.0025,0.42,0.4024,0.1,0.0158,0.1493,0.07,0.2317,0.147,0.0133,0.0015,0.3466,0.5074,True
0.04,0.0012,0.23,0.8313,0.1,0.0664,0.4401,0.26,0.235,0.147,0.0133,0.0015,0.3466,0.6406,True
0.06,0.0042,0.64,0.2355,0.1,0.1251,0.4112,0.36,0.2318,0.147,0.2068,0.0015,0.3466,0.3098,True
0.06,0.0125,0.28,0.08,0.1,0.1371,0.4508,0.02,0.2391,0.154,0.2069,0.0016,0.3466,0.5702,False
0.12,0.0077,0.22,0.13,0.1,0.016,0.1494,0.24,0.2317,0.147,0.0133,0.0015,0.3466,0.3619,True
0.09,0.0015,0.26,0.6833,0.1,0.016,0.1493,0.24,0.2317,0.154,0.0133,0.0015,0.3466,0.4579,True
0.09,0.1864,0.22,0.0054,0.1,0.0159,0.0334,0.14,0.2316,0.147,0.0133,0.0015,0.3466,0.2671,False
0.09,0.0016,0.48,0.64,0.1,0.1103,0.363,0.49,0.2318,0.154,0.0133,0.0015,0.3466,0.5017,True
0.15,0.017,0.75,0.0588,0.1,0.0159,0.1493,0.14,0.2343,0.154,0.0133,0.0016,0.3466,0.2671,False
0.06,0.0017,0.39,0.5949,0.1,0.0664,0.4401,0.26,0.235,0.154,0.0133,0.0016,0.3466,0.4579,False
0.04,0.0197,0.27,0.0509,0.1,0.114,0.42,0.07,0.2268,0.147,0.0133,0.0016,0.3466,0.5074,False
0.06,0.0018,0.43,0.545,0.1,0.0161,0.0334,0.26,0.2316,0.154,0.2068,0.0016,0.3466,0.5306,False
0.06,0.0402,0.34,0.0249,0.1,0.0158,0.1493,0.08,0.2317,0.147,0.0133,0.0016,0.3466,0.183,True
0.12,0.0063,0.23,0.1579,0.1,0.0698,0.1494,0.28,0.2317,0.154,0.0133,0.0015,0.3466,0.5884,True
0.12,0.0011,0.48,0.875,0.1,0.0698,0.1494,0.28,0.2051,0.147,0.0133,0.0015,0.3466,0.5884,True
0.06,0.0024,0.28,0.4162,0.1,0.0664,0.4401,0.26,0.235,0.154,0.0133,0.0015,0.3466,0.6406,False
0.03,0.0056,0.3,0.1789,0.1,0.1311,0.4338,0.36,0.2319,0.147,0.207,0.0015,0.3466,0.3098,True
0.06,0.0041,0.27,0.2415,0.1,0.0749,0.1494,0.35,0.2317,0.154,0.0133,0.0016,0.3466,0.169,True
0.09,0.0022,0.49,0.445,0.1,0.0158,0.3609,0.09,0.2318,0.154,0.0133,0.0015,0.3466,0.0702,True
0.04,0.002,0.73,0.5111,0.1,0.1302,0.432,0.02,0.2308,0.147,0.2068,0.0016,0.3466,0.5702,True
0.09,0.0013,0.21,0.7724,0.1,0.1066,0.3458,0.01,0.227,0.147,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0023,0.32,0.4385,0.1,0.0698,0.1494,0.28,0.2317,0.147,0.0133,0.0016,0.3466,0.5884,True
0.06,0.0032,0.31,0.315,0.1,0.0749,0.1446,0.35,0.2317,0.154,0.0133,0.0016,0.3466,0.3321,True
0.12,0.0044,0.44,0.2294,0.1,0.0158,0.0333,0.07,0.2316,0.147,0.0133,0.0016,0.3466,0.5074,True
0.06,0.0028,0.5,0.3574,0.1,0.0547,0.4501,0.05,0.239,0.154,0.0133,0.0016,0.3466,0.2854,True
0.12,0.0141,0.71,0.0708,0.1,0.0158,0.0333,0.07,0.2316,0.154,0.2068,0.0016,0.3827,0.5074,True
0.09,0.004,0.76,0.2532,0.3,0.1272,0.4215,0.37,0.2318,0.147,0.2068,0.0016,0.3466,0.1296,True
0.06,0.0026,0.23,0.3831,0.1,0.0157,0.0334,0.01,0.2316,0.154,0.0133,0.0016,0.3466,0.2194,True
0.12,0.0043,0.35,0.2333,0.1,0.0157,0.0336,0.02,0.2316,0.154,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0016,0.24,0.6243,0.1,0.0749,0.1446,0.35,0.2317,0.154,0.0133,0.0016,0.3466,0.2854,True
0.06,0.0058,0.55,0.1724,0.1,0.0157,0.0334,0.01,0.2316,0.147,0.0133,0.0016,0.3466,0.6267,True
0.06,0.003,0.41,0.3347,0.1,0.0161,0.0334,0.26,0.2316,0.147,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0019,0.6,0.5143,0.3,0.1272,0.4215,0.37,0.2318,0.147,0.0133,0.0016,0.3466,0.1296,True
0.06,0.0011,0.48,0.8871,0.1,0.0158,0.0333,0.07,0.2315,0.147,0.0133,0.0016,0.3466,0.5074,True
0.12,0.004,0.25,0.253,0.1,0.0158,0.0336,0.09,0.2316,0.147,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0027,0.68,0.375,0.1,0.0157,0.0335,0.06,0.2316,0.154,0.2068,0.0016,0.3466,0.3056,True
0.12,0.0013,0.25,0.7668,0.1,0.0272,0.3289,0.02,0.2108,0.147,0.0133,0.0016,0.3466,0.0861,True
0.06,0.0016,0.27,0.632,0.1,0.0161,0.0335,0.25,0.2316,0.154,0.0133,0.0016,0.3466,0.3524,True
0.12,0.005,0.23,0.2,0.1,0.0157,0.0334,0.01,0.2316,0.154,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0125,0.32,0.0802,0.1,0.1235,0.4444,0.25,0.2362,0.154,0.0133,0.0016,0.3466,0.0161,True
0.06,0.01,0.6,0.1,0.1,0.0749,0.1446,0.35,0.2317,0.154,0.2068,0.0016,0.3466,0.5332,True
0.12,0.0156,0.36,0.064,0.1,0.1251,0.4107,0.36,0.2318,0.154,0.0133,0.0016,0.3466,0.1777,True
0.12,0.0467,0.27,0.0214,0.1,0.0157,0.0336,0.02,0.2316,0.154,0.0133,0.0016,0.3466,0.5702,True
0.06,0.0014,0.33,0.7097,0.1,0.0157,0.0335,0.04,0.2316,0.147,0.0133,0.0016,0.3466,0.4695,True
0.06,0.0403,0.26,0.0248,0.1,0.0157,0.0334,0.01,0.2316,0.154,0.207,0.0016,0.3466,0.2194,True
0.06,0.0133,0.37,0.075,0.1,0.0157,0.0334,0.01,0.2316,0.147,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0624,0.44,0.016,0.1,0.1306,0.433,0.02,0.2311,0.147,0.0133,0.0016,0.3466,0.5702,True
0.06,0.0042,0.27,0.2402,0.1,0.0161,0.0335,0.25,0.2316,0.154,0.0133,0.0016,0.3466,0.0209,True
0.06,0.0214,0.34,0.0467,0.1,0.0158,0.0335,0.1,0.2316,0.154,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0085,0.47,0.1178,0.1,0.0157,0.0335,0.06,0.2316,0.147,0.2068,0.0016,0.3466,0.4579,True
0.06,0.0038,0.36,0.2635,0.1,0.016,0.0334,0.24,0.2316,0.154,0.0133,0.0016,0.3466,0.5351,True
0.09,0.0011,0.33,0.8863,0.1,0.0158,0.0335,0.1,0.2316,0.154,0.0133,0.0016,0.3466,0.2877,True
0.06,0.0056,0.5,0.1782,0.1,0.0157,0.0335,0.05,0.2316,0.154,0.0133,0.0016,0.3466,0.3574,True
0.06,0.0631,0.44,0.0158,0.1,0.016,0.0334,0.24,0.2316,0.154,0.207,0.0016,0.3466,0.2095,True
0.06,0.0278,0.39,0.036,0.1,0.1103,0.3631,0.49,0.2318,0.147,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0088,0.39,0.1135,0.1,0.0161,0.0334,0.26,0.2316,0.147,0.0133,0.0016,0.3466,0.5702,True
0.09,0.0594,0.21,0.0168,0.1,0.0157,0.0335,0.05,0.2316,0.154,0.0133,0.0016,0.3466,0.3574,True
0.06,0.0313,0.42,0.032,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.207,0.0016,0.3466,0.4785,True
0.06,0.0022,0.39,0.4492,0.1,0.0157,0.0335,0.06,0.2316,0.154,0.0133,0.0016,0.3466,0.3941,True
0.12,0.0017,0.22,0.587,0.1,0.0157,0.0377,0.04,0.2043,0.147,0.0133,0.0016,0.3466,0.4695,True
0.12,0.0028,0.3,0.3571,0.1,0.016,0.0334,0.24,0.2316,0.147,0.0133,0.0016,0.3466,0.5351,True
0.12,0.0032,0.27,0.3143,0.1,0.0158,0.0333,0.07,0.2316,0.147,0.0133,0.0016,0.3466,0.5074,True
0.09,0.0017,0.24,0.5767,0.1,0.0157,0.0378,0.05,0.2316,0.154,0.0133,0.0016,0.3466,0.0209,True
0.12,0.0108,0.2,0.093,0.1,0.016,0.0334,0.24,0.2316,0.154,0.0133,0.0016,0.3466,0.4579,True
0.04,0.0056,0.32,0.1796,0.1,0.0809,0.4142,0.35,0.2245,0.147,0.0133,0.0016,0.3466,0.5332,True
0.06,0.007,0.63,0.1432,0.1,0.1251,0.4107,0.36,0.2318,0.154,0.0133,0.0016,0.3466,0.0028,True
0.12,0.1762,0.31,0.0057,0.1,0.1103,0.3631,0.49,0.2318,0.147,0.0133,0.0016,0.3466,0.5017,True
0.09,0.003,0.78,0.3333,0.1,0.0157,0.0336,0.02,0.2316,0.147,0.2068,0.0016,0.3466,0.3574,True
0.06,0.0074,0.74,0.1348,0.1,0.0646,0.3297,0.01,0.211,0.147,0.2068,0.0016,0.3466,0.2194,True
0.06,0.0018,0.26,0.5568,0.1,0.131,0.4336,0.47,0.2319,0.154,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0578,0.25,0.0173,0.1,0.0158,0.0334,0.08,0.2316,0.154,0.0133,0.0016,0.3466,0.183,True
0.06,0.0012,0.37,0.85,0.1,0.0158,0.0334,0.08,0.2316,0.147,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0127,0.28,0.0786,0.1,0.0235,0.3292,0.26,0.2109,0.154,0.0133,0.0016,0.3466,0.6267,True
0.06,0.0014,0.38,0.7026,0.1,0.0157,0.0334,0.01,0.2316,0.147,0.0133,0.0016,0.3466,0.2877,True
0.06,0.0071,0.26,0.14,0.1,0.1051,0.3416,0.48,0.2318,0.154,0.0133,0.0016,0.3466,0.2799,True
0.09,0.0385,0.26,0.026,0.1,0.0157,0.0336,0.02,0.2316,0.154,0.0133,0.0016,0.3466,0.5702,True
0.06,0.0021,0.22,0.4706,0.1,0.0656,0.45,0.07,0.2389,0.154,0.0133,0.0016,0.3466,0.5074,True
0.09,0.0018,0.38,0.55,0.1,0.0161,0.0335,0.25,0.2316,0.147,0.207,0.0015,0.3466,0.4579,True
0.04,0.0082,0.27,0.1219,0.1,0.0088,0.3307,0.01,0.2112,0.154,0.0133,0.0016,0.3466,0.2194,True
0.12,0.0013,0.34,0.7667,0.1,0.026,0.3682,0.14,0.2171,0.154,0.0133,0.0016,0.3466,0.2671,True
0.12,0.0237,0.21,0.0422,0.1,0.0161,0.0334,0.26,0.2316,0.154,0.0133,0.0016,0.3466,0.5306,True
0.06,0.0097,0.57,0.1032,0.1,0.1366,0.4469,0.36,0.2379,0.147,0.0133,0.0016,0.3466,0.3098,True
0.12,0.0023,0.25,0.4333,0.1,0.0158,0.0379,0.09,0.2044,0.147,0.0133,0.0016,0.3466,0.0702,True
0.06,0.0034,0.24,0.2941,0.1,0.0698,0.1446,0.28,0.2317,0.154,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0216,0.49,0.0464,0.1,0.1051,0.3416,0.48,0.2318,0.154,0.0133,0.0016,0.3466,0.3941,True
0.06,0.0042,0.74,0.2381,0.1,0.0158,0.1493,0.1,0.2317,0.147,0.2068,0.0015,0.3466,0.0317,True
0.12,0.0106,0.44,0.0941,0.1,0.0161,0.1494,0.26,0.2317,0.154,0.0133,0.0016,0.3466,0.1506,False
